031	由同一机构分别对买方和卖方承担交易对手角色的安排叫什么？	设立中央交易对手以后，是否还需要保证金和违约管理？
032	账面利息收入增加但物价也上涨，应该怎样比较真实收益？	实际利率计算中，预期通胀与已经发生的通胀为什么不能不加说明地混用？
033	从储蓄与投资分析利率，与从持币意愿分析利率有什么不同？	可贷资金理论如何把实际因素和货币因素放进同一分析框架？
034	让市场决定更多融资价格后，金融机构需要提高哪些能力？	利率市场化为什么不等于中央银行不再影响利率？
035	短期市场利率的上界一般与央行贷款便利还是存款便利相关？	在利率走廊中，存款便利和贷款便利分别约束哪一侧利率？
036	日常付账、准备意外支出以及等待债券价格变化，分别是什么持币动机？	为预防突然失业而持有现金，与预期利率上升而持币有什么区别？
037	利率已经很低时，为什么增发货币仍可能无法明显扩大支出？	每个处于低利率的国家都必然进入流动性陷阱吗？
038	MV=PT与M=kPY分别从交易流量还是持币余额出发？	费雪和剑桥货币需求理论为什么不能只看公式长得类似就混用变量？
039	估算长期持币需求时，只用某个月突然收到的一笔奖金合理吗？	恒久性收入关注的是预期长期水平还是当期收入的所有波动？
040	银行存贷循环形成更多存款，是否意味着实际商品也同时增加？	原始存款与派生存款之间如何通过准备金和贷款联系起来？
041	基础货币里除了公众持有的现金，还涉及银行体系的什么资金？	货币乘数是货币供给和基础货币的比例，为什么不应被当作固定常数？
042	忽略现金漏损和超额准备金，为什么会高估简单乘数公式的适用性？	存款扩张倍数与货币乘数采用的分子和分母是否完全相同？
043	央行卖出证券并约定将来买回，对当期流动性产生什么方向的影响？	为什么判断正回购、逆回购的资金方向前必须先确定观察主体？
044	只有一种商品短期涨价，足以认定总体通货膨胀吗？	工资数额变高但生活购买力降低，只看名义收入会造成什么判断偏差？
045	成本上升导致物价上涨，与需求过旺引发通胀有什么不同？	滞胀为什么让简单的失业与通胀替代关系受到挑战？
046	准备金率、再贴现和公开市场业务如何归入货币政策工具框架？	物价、就业、增长和国际收支目标之间为什么需要政策协调？
047	只监管一家机构的稳健经营，能否完全替代宏观审慎的系统视角？	货币政策与宏观审慎为什么不是两套互不相关的工作？
048	泰勒规则为什么同时考虑通胀偏离和产出偏离？	政策制定者认识问题、采取行动到效果显现，分别涉及什么时滞？
049	比较同期限不同信用条件的债券收益，是期限结构还是风险结构？	收益率曲线倒挂时，为什么不能直接断定经济衰退一定发生？
050	预期未来短期利率，与期限市场独立供求分别对应哪类理论？	长期债券收益里除了短期利率预期，为什么还可能需要流动性补偿？
051	申请贷款时隐瞒风险和贷款到账后改变用途，分别是什么信息问题？	逆向选择更依赖事前筛选还是事后监督，为什么？
052	资产价格下跌、对手违约、卖不掉资产和系统故障应如何区分风险？	同一金融事件为什么可能同时伴随信用风险与流动性风险？
053	为什么有些企业优先使用内部资金，再借债，最后发行新股？	啄序理论描述的融资偏好是否等于适用于所有企业的强制顺序？
054	MM无税结论依赖什么市场假设，有税版本又增加了什么影响？	债务利息有税盾，为什么仍不能推导企业应该无限举债？
055	资金绕开银行直接融资，是否代表中介服务从此不再需要？	金融脱媒之后为什么还可能出现新的专业金融中介？
056	把流动性弱但有现金流的资产做成证券，改变了什么，没保证什么？	讨论资产证券化时为何必须回到基础资产和现金流的风险分配？
